id,text,Category,source
463,Technical Skills Summary I have completed CORPORATE TRAINING in Manual and Automation Testing at SourceCode Technology Pune  Manual and Automation Testing  SELENIUM IDE TestNG SELENIUM Grid JENKINS Apache POI  Good knowledge in SDLC  Excellent understanding of White Box Testing and Black Box Testing  Good knowledge in Functional Testing Integration Testing and System Testing  Good Exposure in writing Functional and Integration Scenarios  Good understanding of writing of test cases including test case design technique  Good understanding Build and release  Good knowledge on Ad hoc and smoke testing  Excellent understanding of usability reliability and exploratory testing  Excellent knowledge of Globalization and Compatibility Testing  Excellent Understand of STLC  Good knowledge of regression and retesting  Excellent knowledge on Defect tracking and Defect Life Cycle  Good Knowledge on Test plan and Traceability Matrix Internship Project Project Name Resume Extractor Duration 6 months Role Manual And Automation Testing Environment Jdbc Servlets Jsp Technologies Web based Application MS Access2007 The project involved development of a web application Resume extractor provides the technology to analyze mass volume of data to detect resume in data covered which company have into valuable information This project is company sites based on recruitment process Strengths  Able to work in a team  System and Operational Analysis  Good Communication Skills  Active learning and critical thinking  Good interpersonal skills willing to take challenges and more responsibilities  Ability to learn new technologies with minimal time period Education Details January 2015  BCS Computer Science  MGMs College MCA  Pune Maharashtra Computer Science fromJSPM College HSC  Nanded Maharashtra Maharashtra state board SSC  Nanded Maharashtra Maharashtra State BoardSoftware testing Software testingSkill Details APACHE Exprience  6 monthsBLACK BOX Exprience  6 monthsBLACK BOX TESTING Exprience  6 monthsFUNCTIONAL TESTING Exprience  6 monthsINTEGRATION Exprience  6 monthsCompany Details company  Tech Mahindradescription  Software testing in manual and Automationcompany  description  software Test engineer,Automation Testing,tech_resumes1_csv
471,SKILLS Agile Methodology Scrum Kanban Extreme ProgrammingXP Testdriven development TDD and Feature Driven developmentFDD Domain Industrial Automation Retail Banking Insurance Health care Automation Framework Modular Data driven BPT Hybrid Test automation tool HP UFT TAF Load Runner Selenium Rational Robot DCMTK sikuli languages VB Script C Python Shell Script Bug Tracking Tool Bugzilla Jira HP Quality Control AP Test Clear Quest Version management Clear case Win CVS SVN Database Oracle SQL server MySQL Network Protocols TCPIP HTTP HTTPS VPN FTP LDAP Healthcare DICOM PACS HL7 Image Archiving Image reconstruction Rockwell Automation Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Education Details  Bachelor of Science Computer Science Mumbai Maharashtra Mumbai UniversityQA Automation Lead QA Automation LeadSkill Details C Exprience  63 monthsPYTHON Exprience  109 monthsUFT Exprience  85 monthsSELENIUM Exprience  85 monthsSQL Exprience  69 monthsCompany Details company  Leading Industrial Automationdescription  Responsibilities Test Rockwell Automation embedded systems such as Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Coordinate with Onsite and Offshore QA leads to design and develop test strategy and test plan Document test plan and test cases base on product Requirement Document and functional specification Discussed and explained the requirement to QA team Work in Scrum base Agile Methodology and Test Driven development environment with frequent changing requirements and lots of challenges Document and Published Program Increment Objectives Program Increment planning report Feature Epics Backlog and Stories Conduct and Participated in Program Increment Planning Backlog Grooming Sprint Planning Daily Stand Ups Sprint Review and Retrospective Perform Automation testing tasks such as Design Create Maintain Execute and peer review test scripts using Test Automation FrameworkTAF Develop and Execute System integration and GUI integration test using C Interact with Business Analysts and Software Developers for bug review and participated in QA meetings Work closely with development and engineering department to ensure proper resolution of bugs Proactively came up with innovative methods to improve software quality test coverage efficiency and regression coverage Created and Maintained testing documents such as High Level Requirement Test strategy report Test plan Test cases Test execution results Bug report Quality Metrics Traceability Matrix and Testing Summary ReportsEnvironment Logix Designer Factory Talk RSLinx Classic ControlFlash CompareTool IO modules Profiles Test Automation FrameworkTAF C Python Selenium Clear Case Clear Quest UFT Collaborative Lifecycle Management and Versiononecompany  GEHealthcaredescription  Responsibilities Validated GE CT scanners based on FDA compliances and regulations Interacted with Clinical experts Business Analysts and Development architect for creation of test strategy and test plan Coordinated with the Offshore QA and Onsite QA team to work on design and develop of test strategies and requirement traceability matrix Designed Created and executed manual test cases base on product requirement documents Increased productivity by initiating use of automation tools like DICOM and QTP Trained and guided GE team on automation test creation and execution using QTP Performed testing types such as functional integration performance and regression and Provide test reports to management Involved in release support test bed creation  testing throughout release processEnvironment Agile Testdriven development TDD DICOM HL7 Image reconstruction Windows Linux SQL C Python QTP HTML XML QTP VBScripts and QCcompany  PatniGEHealthcare PACSdescription  Responsibilities Validated GE PACS application and tested web application defined for Administration Authentication and Archiving of DICOM images Involved in the creation of Automation framework by using Hybrid and BPT approach Responsible for creation of Test Bed and Golden Data using DCMTK Prepared the Test Scenarios Test plan Test cases and Automation Scripts for Integration System and EndtoEnd testing on all applications Designed and developed User defined and Generic functions with wellversed VB scripting Descriptive programming in scripting dynamic objects and reusable actions in defining scenario flows in UFTQTP Reviewed the QTP Scripts developed by the team members Supported the QASIT and Regression testing team for environmental issues and Interact with other downstream environment system team for the clarificationsEnvironment Agile Testdriven development TDD GE PACS DICOM HL7 Image reconstruction Image Construction Windows Linux SQL C Python Selenium QTP HTML XML QTP JavaScript VBScripts and QCcompany  HDFC Bank Limiteddescription  Responsibilities Reviewed Business requirements design documents and prepared test cases for assigned project releases Performed testing types such as API functional integration System performance regression security and network Provide test reports to management Involved in integration testing for release of new functionality Testing critical bugs fixes and coordinate with developer in fixing these critical bugs Involved in backend database testing in oracle and Microsoft SQL Involved in release support test bed setup  testing throughout release process Automation of test flows using automated tools QTP 10Environment Windows Linux SQL C Python QTP HTML XML QTP JavaScript VBScripts and QCcompany  Vistaar Systems Limiteddescription  Responsibilities Referred Business requirements documents Use case documents and Design documents provided by client and developer for creation of Manual and Automation test cases Involved in Analysis Design Creation Execution and Debugging of automation scripts using automation tools like Rational Robot QTP and Shell scripting Testing critical bugs fixes and coordinate with developer in fixing these critical bugs Involved in Installation of build Maintaining test bed Smoke and Sanitary testing Regression testing Performance testing and Database testing using Rational Robot QTP and Shell scriptingEnvironment Windows Linux SQL Rational Robot V2002 and QTP V 92,Automation Testing,tech_resumes1_csv
455,Excellent grasping power in learning new concepts and technology  Highly motivated team player with strong work ethics committed to hard work  Ability to work and coordinate in a team effectively  Enthusiastic selfstarter and team player  Quick and independent learnerEducation Details January 2014 Bachelor of Technology Information Technology branch  BPUT UniversityJanuary 2010 Diploma Engineering Brahmapur Orissa UCP Engineering SchoolSoftware Testing  Automation Engineer Software Testing  Automation Engineer  Tech MahindraSkill Details Company Details company  Tech Mahindradescription  IndiaDuration       Oct 2017 Till DateProject DescriptionBT Group plc trading as BT and formerly British Telecom is a British multinational telecommunications holding company with head offices in London United Kingdom I worked for Air Logistics Program under the banner of British Telecom This project handles all the web applications to carry out the whole logistics operation over United Kingdom through various airlinesRoles  Responsibilities  Design and develop framework for the Test scenarios and Test cases Developing automation test scripts on the existing application  Executing Test Cases for every new release Involved in running test cases and logging defects through the HPQC tool Involved in formulating test Summary Report Conduct Internal Test Case Peer Reviews Participated in Daily Scrum Meetings Participated in weekly status meetings with the team developers to discuss open issues and communicating with onsite teamcompany  Tech Mahindra Pvt Ltd Pune Tech Mahindradescription  is an Indian multinational company with around 115 000 Employees spread across 90 countries globallyTotal Experience 2 Years 7 MonthsOrganization              Designation         Durationcompany  Tech Mahindradescription  Project DescriptionATT Inc is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas Texas During my serving as software engineer at ATT I have worked for CSICAM Common Service Interface team which is responsible for running of ATTs centralised solution hub web application called myattcomRoles  Responsibilities  Design develop and maintaing Automation Test Scripts and Test cases using Selenium WebDriver and several desktop window automating tool such as Sikuli and AutoIT Executing Test Cases and check the working functionality of  the existing application Involved in trackingmanging test life cycle and logging defects using JIRA and HPQCALM Involved in formulating test Summary Report Conduct Internal Test Case Peer Reviews Participated in Daily Scrum Meetings Participated in weekly status meetings with the team developers to discuss open issues and communicating with onsite teamcompany  Tech Mahindra Pvt Ltd Pune Tech Mahindradescription  Till Date,Automation Testing,tech_resumes1_csv
479,SKILLS Agile Methodology Scrum Kanban Extreme ProgrammingXP Testdriven development TDD and Feature Driven developmentFDD Domain Industrial Automation Retail Banking Insurance Health care Automation Framework Modular Data driven BPT Hybrid Test automation tool HP UFT TAF Load Runner Selenium Rational Robot DCMTK sikuli languages VB Script C Python Shell Script Bug Tracking Tool Bugzilla Jira HP Quality Control AP Test Clear Quest Version management Clear case Win CVS SVN Database Oracle SQL server MySQL Network Protocols TCPIP HTTP HTTPS VPN FTP LDAP Healthcare DICOM PACS HL7 Image Archiving Image reconstruction Rockwell Automation Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Education Details  Bachelor of Science Computer Science Mumbai Maharashtra Mumbai UniversityQA Automation Lead QA Automation LeadSkill Details C Exprience  63 monthsPYTHON Exprience  109 monthsUFT Exprience  85 monthsSELENIUM Exprience  85 monthsSQL Exprience  69 monthsCompany Details company  Leading Industrial Automationdescription  Responsibilities Test Rockwell Automation embedded systems such as Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Coordinate with Onsite and Offshore QA leads to design and develop test strategy and test plan Document test plan and test cases base on product Requirement Document and functional specification Discussed and explained the requirement to QA team Work in Scrum base Agile Methodology and Test Driven development environment with frequent changing requirements and lots of challenges Document and Published Program Increment Objectives Program Increment planning report Feature Epics Backlog and Stories Conduct and Participated in Program Increment Planning Backlog Grooming Sprint Planning Daily Stand Ups Sprint Review and Retrospective Perform Automation testing tasks such as Design Create Maintain Execute and peer review test scripts using Test Automation FrameworkTAF Develop and Execute System integration and GUI integration test using C Interact with Business Analysts and Software Developers for bug review and participated in QA meetings Work closely with development and engineering department to ensure proper resolution of bugs Proactively came up with innovative methods to improve software quality test coverage efficiency and regression coverage Created and Maintained testing documents such as High Level Requirement Test strategy report Test plan Test cases Test execution results Bug report Quality Metrics Traceability Matrix and Testing Summary ReportsEnvironment Logix Designer Factory Talk RSLinx Classic ControlFlash CompareTool IO modules Profiles Test Automation FrameworkTAF C Python Selenium Clear Case Clear Quest UFT Collaborative Lifecycle Management and Versiononecompany  GEHealthcaredescription  Responsibilities Validated GE CT scanners based on FDA compliances and regulations Interacted with Clinical experts Business Analysts and Development architect for creation of test strategy and test plan Coordinated with the Offshore QA and Onsite QA team to work on design and develop of test strategies and requirement traceability matrix Designed Created and executed manual test cases base on product requirement documents Increased productivity by initiating use of automation tools like DICOM and QTP Trained and guided GE team on automation test creation and execution using QTP Performed testing types such as functional integration performance and regression and Provide test reports to management Involved in release support test bed creation  testing throughout release processEnvironment Agile Testdriven development TDD DICOM HL7 Image reconstruction Windows Linux SQL C Python QTP HTML XML QTP VBScripts and QCcompany  PatniGEHealthcare PACSdescription  Responsibilities Validated GE PACS application and tested web application defined for Administration Authentication and Archiving of DICOM images Involved in the creation of Automation framework by using Hybrid and BPT approach Responsible for creation of Test Bed and Golden Data using DCMTK Prepared the Test Scenarios Test plan Test cases and Automation Scripts for Integration System and EndtoEnd testing on all applications Designed and developed User defined and Generic functions with wellversed VB scripting Descriptive programming in scripting dynamic objects and reusable actions in defining scenario flows in UFTQTP Reviewed the QTP Scripts developed by the team members Supported the QASIT and Regression testing team for environmental issues and Interact with other downstream environment system team for the clarificationsEnvironment Agile Testdriven development TDD GE PACS DICOM HL7 Image reconstruction Image Construction Windows Linux SQL C Python Selenium QTP HTML XML QTP JavaScript VBScripts and QCcompany  HDFC Bank Limiteddescription  Responsibilities Reviewed Business requirements design documents and prepared test cases for assigned project releases Performed testing types such as API functional integration System performance regression security and network Provide test reports to management Involved in integration testing for release of new functionality Testing critical bugs fixes and coordinate with developer in fixing these critical bugs Involved in backend database testing in oracle and Microsoft SQL Involved in release support test bed setup  testing throughout release process Automation of test flows using automated tools QTP 10Environment Windows Linux SQL C Python QTP HTML XML QTP JavaScript VBScripts and QCcompany  Vistaar Systems Limiteddescription  Responsibilities Referred Business requirements documents Use case documents and Design documents provided by client and developer for creation of Manual and Automation test cases Involved in Analysis Design Creation Execution and Debugging of automation scripts using automation tools like Rational Robot QTP and Shell scripting Testing critical bugs fixes and coordinate with developer in fixing these critical bugs Involved in Installation of build Maintaining test bed Smoke and Sanitary testing Regression testing Performance testing and Database testing using Rational Robot QTP and Shell scriptingEnvironment Windows Linux SQL Rational Robot V2002 and QTP V 92,Automation Testing,tech_resumes1_csv
466,SKILLS Agile Methodology Scrum Kanban Extreme ProgrammingXP Testdriven development TDD and Feature Driven developmentFDD Domain Industrial Automation Retail Banking Insurance Health care Automation Framework Modular Data driven BPT Hybrid Test automation tool HP UFT TAF Load Runner Selenium Rational Robot DCMTK sikuli languages VB Script C Python Shell Script Bug Tracking Tool Bugzilla Jira HP Quality Control AP Test Clear Quest Version management Clear case Win CVS SVN Database Oracle SQL server MySQL Network Protocols TCPIP HTTP HTTPS VPN FTP LDAP Healthcare DICOM PACS HL7 Image Archiving Image reconstruction Rockwell Automation Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Education Details  Bachelor of Science Computer Science Mumbai Maharashtra Mumbai UniversityQA Automation Lead QA Automation LeadSkill Details C Exprience  63 monthsPYTHON Exprience  109 monthsUFT Exprience  85 monthsSELENIUM Exprience  85 monthsSQL Exprience  69 monthsCompany Details company  Leading Industrial Automationdescription  Responsibilities Test Rockwell Automation embedded systems such as Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Coordinate with Onsite and Offshore QA leads to design and develop test strategy and test plan Document test plan and test cases base on product Requirement Document and functional specification Discussed and explained the requirement to QA team Work in Scrum base Agile Methodology and Test Driven development environment with frequent changing requirements and lots of challenges Document and Published Program Increment Objectives Program Increment planning report Feature Epics Backlog and Stories Conduct and Participated in Program Increment Planning Backlog Grooming Sprint Planning Daily Stand Ups Sprint Review and Retrospective Perform Automation testing tasks such as Design Create Maintain Execute and peer review test scripts using Test Automation FrameworkTAF Develop and Execute System integration and GUI integration test using C Interact with Business Analysts and Software Developers for bug review and participated in QA meetings Work closely with development and engineering department to ensure proper resolution of bugs Proactively came up with innovative methods to improve software quality test coverage efficiency and regression coverage Created and Maintained testing documents such as High Level Requirement Test strategy report Test plan Test cases Test execution results Bug report Quality Metrics Traceability Matrix and Testing Summary ReportsEnvironment Logix Designer Factory Talk RSLinx Classic ControlFlash CompareTool IO modules Profiles Test Automation FrameworkTAF C Python Selenium Clear Case Clear Quest UFT Collaborative Lifecycle Management and Versiononecompany  GEHealthcaredescription  Responsibilities Validated GE CT scanners based on FDA compliances and regulations Interacted with Clinical experts Business Analysts and Development architect for creation of test strategy and test plan Coordinated with the Offshore QA and Onsite QA team to work on design and develop of test strategies and requirement traceability matrix Designed Created and executed manual test cases base on product requirement documents Increased productivity by initiating use of automation tools like DICOM and QTP Trained and guided GE team on automation test creation and execution using QTP Performed testing types such as functional integration performance and regression and Provide test reports to management Involved in release support test bed creation  testing throughout release processEnvironment Agile Testdriven development TDD DICOM HL7 Image reconstruction Windows Linux SQL C Python QTP HTML XML QTP VBScripts and QCcompany  PatniGEHealthcare PACSdescription  Responsibilities Validated GE PACS application and tested web application defined for Administration Authentication and Archiving of DICOM images Involved in the creation of Automation framework by using Hybrid and BPT approach Responsible for creation of Test Bed and Golden Data using DCMTK Prepared the Test Scenarios Test plan Test cases and Automation Scripts for Integration System and EndtoEnd testing on all applications Designed and developed User defined and Generic functions with wellversed VB scripting Descriptive programming in scripting dynamic objects and reusable actions in defining scenario flows in UFTQTP Reviewed the QTP Scripts developed by the team members Supported the QASIT and Regression testing team for environmental issues and Interact with other downstream environment system team for the clarificationsEnvironment Agile Testdriven development TDD GE PACS DICOM HL7 Image reconstruction Image Construction Windows Linux SQL C Python Selenium QTP HTML XML QTP JavaScript VBScripts and QCcompany  HDFC Bank Limiteddescription  Responsibilities Reviewed Business requirements design documents and prepared test cases for assigned project releases Performed testing types such as API functional integration System performance regression security and network Provide test reports to management Involved in integration testing for release of new functionality Testing critical bugs fixes and coordinate with developer in fixing these critical bugs Involved in backend database testing in oracle and Microsoft SQL Involved in release support test bed setup  testing throughout release process Automation of test flows using automated tools QTP 10Environment Windows Linux SQL C Python QTP HTML XML QTP JavaScript VBScripts and QCcompany  Vistaar Systems Limiteddescription  Responsibilities Referred Business requirements documents Use case documents and Design documents provided by client and developer for creation of Manual and Automation test cases Involved in Analysis Design Creation Execution and Debugging of automation scripts using automation tools like Rational Robot QTP and Shell scripting Testing critical bugs fixes and coordinate with developer in fixing these critical bugs Involved in Installation of build Maintaining test bed Smoke and Sanitary testing Regression testing Performance testing and Database testing using Rational Robot QTP and Shell scriptingEnvironment Windows Linux SQL Rational Robot V2002 and QTP V 92,Automation Testing,tech_resumes1_csv
875,SOFTWARE SKILLS Languages C C  java Operating Systems Windows XP 7 Ubuntu RDBMS Oracle SQL Database My SQL PostgreSQL Markup  Scripting HTML JavaScript  PHP CSS JQuery Angular js Framework Struts Hibernate spring MVC Web Server Tomcat and Glassfish Web Services REST AND SOAP TRAINING DETAIL Duration 4 months From  United Telecommunication Limited Jharnet project Place  Ranchi Jharkhand Networking Requirements Elementary configuration of router and switch IP and MAC addressing Lease Line OSI Layers Routing protocols Status  Network DesignerEducation Details     2 High School Diploma Government Women Ranchi Jharkhand The InstitutionBlockchain Engineer Blockchain Engineer  AuxledgerSkill Details JAVA Exprience  19 monthsCSS Exprience  12 monthsHTML Exprience  12 monthsJAVASCRIPT Exprience  12 monthsC Exprience  6 monthsCompany Details company  Auxledgerdescription  Worked with on lots of product on blockchain Bitcoin Build Wallet and explorer on Bitcoin Ethereum Build Wallet and explorer on ethereum blockchain Customize product on Ethereum Inventory system Build smart contract in soliditydeployed in java byte code and on ethereum as well and I have written API in java spring on that and then build front end and called all Api Audit Logger I have audit logger for OTC exchange to keep all transaction record in blockchain DOC Safe on ethereum I have build an ethereum application to keep Documents safe on blockchain and document in encrypted form on server And explore with Litecoin Ripple  exchange OTC P2P Hyperledger Fabric   continue   company  description  Worked with a USA team on blockchain on ethereum I have designed product on ethereumblockchain Setup private ethereum and bitcoin blockchain Worked on loyalty program system and HERSystem on ethereum networkcompany  ERP System CRM for Real Estate Companydescription   At Lavisa Infrastructure Bangalore                                        Sep 2015 Oct 2016Software developer ERP System CRM for Real Estate Companycompany  News Portaldescription   On demand product development from client side requirement Like Dynamic website Content management system where I have designed front end with backend where content of website was manageable from admin panel News Portal News portal where content was in Hindi language I have used Html CssJavaScript JDBC MySQL data base Birthday Reminder A small web application for birthday reminder I have used HTMl CSSJavaScript JDBC MySQL DB Car parking System A web application for Management of Car Parking System I have usedHTMl CSS JavaScript JDBC MySQL DBcompany  Company portal for employee management for Inside Companydescription   At United Telecom Limited Ranchi                                         Nov 2013Sep 2014Web developer Company portal for employee management for Inside Company Onsite employee  in differentdifferent district And management of all kind of government service like adharcard Birth certificate pan card tracker etcTechnology skillTechnology Blockchain Bitcoin Ethereum Ripple Hyperledger FabricBlockchain Private setup of blockchain Node buildingSmart Contract Solidity LanguageSmart Contract Api Java SpringDapp Building Node js React js Express js,Blockchain,tech_resumes1_csv
886,SKILLS Bitcoin Ethereum Solidity Hyperledger Beginner Go Beginner R3 Corda Beginner Tendermint Nodejs C Programming Java Machine Learning specilaized in Brain Computer Interface Computer Networking and Server Admin Computer Vision Data Analytics Cloud Computing Reactjs angularEducation Details January 2014 to January 2018 Bachelor of Engineering Computer Science  Engineering  Thakur College of Engineering and TechnologySeptember 2016 to March 2017  Dynamic Blood Bank System Mumbai Maharashtra IITJanuary 2014 CBSE   Senior SecondaryJanuary 2011 CBSE Banking  VIDYASHRAM PUBLIC SCHOOLBlockchain Developer Blockchain Developer  Zhypility TechnologiesSkill Details NETWORKING Exprience  27 monthsDATA ANALYTICS Exprience  11 monthsCOMPUTER VISION Exprience  6 monthsJAVA Exprience  6 monthsMACHINE LEARNING Exprience  6 monthsCompany Details company  Zhypility Technologiesdescription  une 2018company  Area Business Owner Amway Enterprise Limiteddescription  Business Strategizing Promotion Analytics and Networking Termscompany  Virtualdescription  Developing Prototype of Smart India Hackthon to deployment level3Networking And Switch Intern Bharti Airtel Private Limited Mumbaicompany  1International Research Scholar University Of Rome Tor Vergata Romedescription  Nov 2017  Nov 2017Has done research on Reality Based Brain computer Interface and proposed paper in International Journal of Advanced Research IJAR20656 accepted paper by reviewer and Smart Kisan Revolutionizing Country IJSRD accepted for publicationcompany  description  under Reliance Jio Mumbai Dec 2017  Jan 2017company  Maharastra State Government Hackthondescription  company  Virtualdescription  I was handling group of Interns in the marketing and sales team of nearby to promote on all social media platform the nearby productscompany  Promotion And Stock Marketing Drums Foods Internationaldescription  company  8Data Science And Web Analytics POSITRON INTERNET Virtualdescription  company  description  I was making people aware about women equality rights and raise voice against violence through various modes of events and other sources of media to help the societycompany  IIT Bombay And IIT KGP Startupdescription  company  IIT Bombay And IIT KGP Startupdescription,Blockchain,tech_resumes1_csv
883,Skills Strong CS fundamentals and problem solving Ethereum Smart Contracts Solidity skills Golang Node Angular React Culturally fit for startup environment MongoDB PostGresql MySql Enthusiastic to learn new technologies AWS Docker Microservices Blockchain Protocol ConsensusEducation Details January 2014 MTech Computer Engineering Jaipur Rajasthan Malaviya National Institute Of Technology JaipurJanuary 2011 BE Computer Science And Engg Kolhapur Maharashtra Shivaji UniversityBlockchain Engineer Blockchain Engineer  XINFIN OrgnizationSkill Details MONGODB Exprience  16 monthsCONTRACTS Exprience  12 monthsMYSQL Exprience  9 monthsAWS Exprience  6 monthsPROBLEM SOLVING Exprience  6 monthsCompany Details company  XINFIN Orgnizationdescription  Xinfin is a global open source Hybrid Blockchain protocolRolled out multiple blockchain based pilot projects on different use cases for various clients EgTradefinex Supply chain Management Land Registry Govt of MH inFactor Invoice FactoringBuild a secure and scalable hosted wallet based on ERC 20 standards for XINFIN NetworkWorking on production level blockchain use casesTechnology Ethereum Blockchain Solidity Smart Contracts DAPPs Nodejscompany  ORO Wealthdescription  OroWealth is a zero commision online investment platform currently focused on direct mutual fundsBuild various scalable web based products B2B and B2C based on MEAN stack technology and integrated  with multiple finance applicationsentities eg Integration KYC and MF EntitiesTechnology Nodejs Angularjs MongoDB Expresscompany  YallaSpreedescription  Hyderabad TelanganaYallaspree is a largest digital shopping directory in UAE with over 22K storesOwn the responsibility to develop and maintain following modules Admin and Vendor interface        Database operations Writing Webservices                       Complete Notification system Events  and Offers PageTechnology CakePHP PHP Framework JQuery MySqlcompany  RailTiffincomdescription  Mumbai MaharashtraRailTiffincom is an ecommerce platform to serve food to railway passengersWorked on multiple roles like bug fixing DB operations Feature customisation and writing API endpointsTechnology OpenCart Ecommerce Framework JQuery MySqlcompany  Accolite Software India Private Limiteddescription  Bengaluru KAAccolite is a global IT Services company headquartered in Dallas USA with offices in IndiaWorked on Birst Analytics Tool to develop deploy and maintain reports,Blockchain,tech_resumes1_csv
890,SOFTWARE SKILLS Languages C C  java Operating Systems Windows XP 7 Ubuntu RDBMS Oracle SQL Database My SQL PostgreSQL Markup  Scripting HTML JavaScript  PHP CSS JQuery Angular js Framework Struts Hibernate spring MVC Web Server Tomcat and Glassfish Web Services REST AND SOAP TRAINING DETAIL Duration 4 months From  United Telecommunication Limited Jharnet project Place  Ranchi Jharkhand Networking Requirements Elementary configuration of router and switch IP and MAC addressing Lease Line OSI Layers Routing protocols Status  Network DesignerEducation Details     2 High School Diploma Government Women Ranchi Jharkhand The InstitutionBlockchain Engineer Blockchain Engineer  AuxledgerSkill Details JAVA Exprience  19 monthsCSS Exprience  12 monthsHTML Exprience  12 monthsJAVASCRIPT Exprience  12 monthsC Exprience  6 monthsCompany Details company  Auxledgerdescription  Worked with on lots of product on blockchain Bitcoin Build Wallet and explorer on Bitcoin Ethereum Build Wallet and explorer on ethereum blockchain Customize product on Ethereum Inventory system Build smart contract in soliditydeployed in java byte code and on ethereum as well and I have written API in java spring on that and then build front end and called all Api Audit Logger I have audit logger for OTC exchange to keep all transaction record in blockchain DOC Safe on ethereum I have build an ethereum application to keep Documents safe on blockchain and document in encrypted form on server And explore with Litecoin Ripple  exchange OTC P2P Hyperledger Fabric   continue   company  description  Worked with a USA team on blockchain on ethereum I have designed product on ethereumblockchain Setup private ethereum and bitcoin blockchain Worked on loyalty program system and HERSystem on ethereum networkcompany  ERP System CRM for Real Estate Companydescription   At Lavisa Infrastructure Bangalore                                        Sep 2015 Oct 2016Software developer ERP System CRM for Real Estate Companycompany  News Portaldescription   On demand product development from client side requirement Like Dynamic website Content management system where I have designed front end with backend where content of website was manageable from admin panel News Portal News portal where content was in Hindi language I have used Html CssJavaScript JDBC MySQL data base Birthday Reminder A small web application for birthday reminder I have used HTMl CSSJavaScript JDBC MySQL DB Car parking System A web application for Management of Car Parking System I have usedHTMl CSS JavaScript JDBC MySQL DBcompany  Company portal for employee management for Inside Companydescription   At United Telecom Limited Ranchi                                         Nov 2013Sep 2014Web developer Company portal for employee management for Inside Company Onsite employee  in differentdifferent district And management of all kind of government service like adharcard Birth certificate pan card tracker etcTechnology skillTechnology Blockchain Bitcoin Ethereum Ripple Hyperledger FabricBlockchain Private setup of blockchain Node buildingSmart Contract Solidity LanguageSmart Contract Api Java SpringDapp Building Node js React js Express js,Blockchain,tech_resumes1_csv
861,SKILLS Bitcoin Ethereum Solidity Hyperledger Beginner Go Beginner R3 Corda Beginner Tendermint Nodejs C Programming Java Machine Learning specilaized in Brain Computer Interface Computer Networking and Server Admin Computer Vision Data Analytics Cloud Computing Reactjs angularEducation Details January 2014 to January 2018 Bachelor of Engineering Computer Science  Engineering  Thakur College of Engineering and TechnologySeptember 2016 to March 2017  Dynamic Blood Bank System Mumbai Maharashtra IITJanuary 2014 CBSE   Senior SecondaryJanuary 2011 CBSE Banking  VIDYASHRAM PUBLIC SCHOOLBlockchain Developer Blockchain Developer  Zhypility TechnologiesSkill Details NETWORKING Exprience  27 monthsDATA ANALYTICS Exprience  11 monthsCOMPUTER VISION Exprience  6 monthsJAVA Exprience  6 monthsMACHINE LEARNING Exprience  6 monthsCompany Details company  Zhypility Technologiesdescription  une 2018company  Area Business Owner Amway Enterprise Limiteddescription  Business Strategizing Promotion Analytics and Networking Termscompany  Virtualdescription  Developing Prototype of Smart India Hackthon to deployment level3Networking And Switch Intern Bharti Airtel Private Limited Mumbaicompany  1International Research Scholar University Of Rome Tor Vergata Romedescription  Nov 2017  Nov 2017Has done research on Reality Based Brain computer Interface and proposed paper in International Journal of Advanced Research IJAR20656 accepted paper by reviewer and Smart Kisan Revolutionizing Country IJSRD accepted for publicationcompany  description  under Reliance Jio Mumbai Dec 2017  Jan 2017company  Maharastra State Government Hackthondescription  company  Virtualdescription  I was handling group of Interns in the marketing and sales team of nearby to promote on all social media platform the nearby productscompany  Promotion And Stock Marketing Drums Foods Internationaldescription  company  8Data Science And Web Analytics POSITRON INTERNET Virtualdescription  company  description  I was making people aware about women equality rights and raise voice against violence through various modes of events and other sources of media to help the societycompany  IIT Bombay And IIT KGP Startupdescription  company  IIT Bombay And IIT KGP Startupdescription,Blockchain,tech_resumes1_csv
